,DKK2,EMX2,GAD1,TNC,WIF1,ATOH1,EYA1,HHIP,SFRP1,GABRA5,IMPG2,MAB21L2,NPR3,NRL,EOMES,KCNA1,KHDRBS2,RBM24,UNC5D
NMB433,0.207594983,0.274707076,0.221571474,0.629832736,0,0,0.106271203,0.168435872,0.123377047,0.738077647,0.727158995,0.288327843,0.618174458,0.646888838,0.565711304,0.202306095,0.592684343,0.168435872,0.578377499
NMB273,0.19048914,0.149170493,0.176512648,0.519651273,0.106271203,0.123377047,0.225716185,0.240362187,0.332989474,0.713530952,0.558914965,0.648708077,0.481013651,0.551052716,0.447511479,0.323461001,0.592245812,0.291812919,0.413117989
NMB361,0.217189798,0.463400853,0.270325399,0.418196565,0.084217936,0.159406805,0.249760693,0.3043565,0.299889695,0.608713,0.658558752,0.78838796,0.321172519,0.377715725,0.22964825,0.159406805,0.474853634,0.168435872,0.168435872
NMB459,0.053135602,0.629354723,0.260730584,0.422959493,0.053135602,0,0.196625091,0.296760343,0.196625091,0.513289695,0.649769668,0.776500266,0.233388429,0.757531812,0.674545473,0.249760693,0.510294465,0.3043565,0.378818743
NMB741,0.246754093,0.106271203,0.276807439,0.531505595,0.053135602,0.240362187,0.363739233,0.513194879,0.478369993,0.66197131,0.60114697,0.685284541,0.428309929,0.676621458,0.565806888,0.344091993,0.520518459,0.278851786,0.414848502
NMB799,0.212542407,0.053135602,0.286524031,0.677727531,0.084217936,0.053135602,0.395924586,0.351476588,0.293497788,0.724324959,0.678247102,0.207594983,0.433311167,0.696918927,0.683494847,0.288327843,0.377158206,0.327842678,0.592211974
NMB153,0.265678009,0.159406805,0.368268899,0.556688214,0.19048914,0,0.123377047,0.336871745,0.434644392,0.671994462,0.523478614,0.758647699,0.463582293,0.534581132,0.3043565,0.252653809,0.233388429,0.445243312,0.509102858
NMB157,0.159406805,0.268036917,0.438761272,0.704415791,0.084217936,0.159406805,0.458719395,0.412060614,0.320002138,0.665212292,0.769539322,0.336871745,0.742046806,0.686816966,0.660430108,0.183818981,0.452486835,0.149170493,0.407678937
NMB277,0.236954582,0.317606366,0.335919453,0.380444072,0,0.053135602,0.084217936,0.384107631,0.225716185,0.351476588,0.512432102,0.705442586,0.276807439,0.347462138,0.383078643,0.246754093,0.579184014,0.466078371,0.363069723
NMB318,0.106271203,0.243624741,0.263244202,0.447957169,0,0.053135602,0.503821118,0.282783852,0.331987388,0.734354125,0.744643411,0.665901332,0.43975685,0.660485688,0.760850647,0.149170493,0.454959903,0.106271203,0.176512648
NMB381,0.265678009,0.236954582,0.360331629,0.653495393,0.106271203,0,0.368268899,0.368268899,0.28467675,0.756431235,0.814453646,0.425681381,0.672708344,0.751926993,0.531430843,0.320002138,0.66594015,0.207594983,0.63890783
NMB398,0.265678009,0.137353538,0.295146421,0.50880204,0,0,0.313866186,0.388574436,0.387114231,0.56484564,0.707478393,0.260730584,0.597381184,0.701778865,0.772717415,0.527439711,0.634611637,0.408426831,0.662284008
NMB644,0.407302237,0.280843027,0.376030855,0.513289695,0.168435872,0.106271203,0.355291229,0.356765476,0.268036917,0.716027745,0.701307319,0.440739665,0.507688828,0.463036679,0.771623755,0.645567252,0.649721731,0.202306095,0.423877569
NMB725,0.084217936,0.288327843,0.240362187,0.494240597,0.053135602,0.053135602,0.263244202,0.168435872,0.42478478,0.653404042,0.708025714,0.501866547,0.333978629,0.667019141,0.433311167,0.46712373,0.638631251,0.330972029,0.61790866
NMB734,0.053135602,0.149170493,0.276807439,0.368894686,0.053135602,0,0.149170493,0.308577298,0.27254754,0.46501856,0.613294545,0.866379399,0.343225786,0.578539482,0.795548218,0.411704889,0.544087229,0.422651007,0.503713829
NMB755,0.084217936,0.221571474,0.410265252,0.425383678,0.053135602,0,0.106271203,0.19048914,0.207594983,0.727495854,0.736496584,0.274707076,0.697845947,0.638538836,0.641192523,0.315133297,0.645870384,0.246754093,0.67282668
NMB760,0.149170493,0.313866186,0.442668281,0.380978279,0.053135602,0,0.270325399,0.326770514,0.54332255,0.608384815,0.514604946,0.755507892,0.290090184,0.41098845,0.390947953,0.442668281,0.518420491,0.290090184,0.401008778
NMB762,0.196625091,0.123377047,0.176512648,0.321172519,0.053135602,0,0.288327843,0.290090184,0.225716185,0.618894712,0.674139719,0.812091475,0.379906116,0.642415399,0.772736689,0.252653809,0.282783852,0.159406805,0.207594983
NMB766,0.280843027,0.316379804,0.484125676,0.693745305,0.270325399,0,0.537607054,0.246754093,0.221571474,0.709263304,0.671007945,0.697100061,0.430573074,0.776313499,0.655151148,0.106271203,0.642415399,0.137353538,0.363739233
NMB768,0.183818981,0.509601614,0.334955183,0.617932862,0.240362187,0,0.168435872,0.137353538,0.278851786,0.713940094,0.704946463,0.785514381,0.562088198,0.722299219,0.62568227,0.311267345,0.240362187,0.270325399,0.367637961
NMB769,0.326770514,0.159406805,0.240362187,0.595003488,0.149170493,0,0.563183338,0.221571474,0.631289814,0.687552328,0.569216568,0.604014423,0.560671368,0.589525554,0.418848982,0.196625091,0.58652316,0.225716185,0.258131743
NMB772,0.053135602,0.159406805,0.301407734,0.464124052,0.053135602,0,0.278851786,0.278851786,0.456763715,0.558021438,0.716276364,0.682333804,0.296760343,0.597191121,0.494725013,0.349895945,0.625922476,0.324580123,0.686718382
NMB786,0.299889695,0.411347507,0.529691109,0.506455689,0.500535252,0.106271203,0.326770514,0.312577778,0.316379804,0.483149122,0.575738109,0.420456136,0.41917312,0.532985534,0.243624741,0.413117989,0.524957601,0.299889695,0.331987388
NMB797,0.123377047,0.36571338,0.509800211,0.523062669,0.123377047,0.053135602,0.343225786,0.344091993,0.371347966,0.547739797,0.6086584,0.196625091,0.386621249,0.779566474,0.450578227,0.41720741,0.584191586,0.313866186,0.321172519
NMB804,0.176512648,0.510589495,0.34234968,0.586157771,0.053135602,0.123377047,0.240362187,0.321172519,0.465726726,0.767451701,0.69326678,0.605707492,0.540251881,0.712706058,0.61408735,0.479996367,0.570574994,0.358211905,0.474540102
NMB812,0.149170493,0.176512648,0.416205324,0.466950491,0.176512648,0.053135602,0.274707076,0.207594983,0.368268899,0.669157415,0.749063691,0.137353538,0.609148406,0.659997992,0.665577084,0.522895657,0.625791548,0.426567616,0.628957582
NMB868,0.443849483,0.278851786,0.183818981,0.666980866,0,0,0.338741556,0.255441697,0.348282023,0.605962501,0.672197404,0.575106131,0.486982844,0.770929742,0.662622456,0.137353538,0.588253185,0.316379804,0.463218983
NMB872,0.212542407,0.240362187,0.355291229,0.497801228,0.084217936,0,0.354543336,0.196625091,0.47067415,0.619726544,0.719198545,0.225716185,0.652067076,0.63133046,0.759036565,0.483708676,0.655225566,0.354543336,0.637739431
NMB891,0.053135602,0.123377047,0.22964825,0.539515097,0.159406805,0,0.255441697,0.149170493,0.286524031,0.709197114,0.845709747,0.608384815,0.609904466,0.811363348,0.68166237,0.479408943,0.63331597,0.368894686,0.557703573
NMB892,0.221571474,0.549827088,0.168435872,0.53698353,0.123377047,0.106271203,0.324580123,0.221571474,0.293497788,0.755852948,0.755696662,0.7836346,0.512336219,0.678423176,0.716577655,0.265678009,0.526328699,0.19048914,0.4492789
NMB89,0.362394313,0.233388429,0.397657055,0.535721056,0.159406805,0,0.443379184,0.542420675,0.426860765,0.711294495,0.599318053,0.622625788,0.443379184,0.68049442,0.520518459,0.583360387,0.60666644,0.445930836,0.594676447
NMB903,0.168435872,0.159406805,0.313866186,0.58674156,0,0.053135602,0.312577778,0.338741556,0.434644392,0.711151181,0.763377693,0.221571474,0.641903811,0.769830107,0.465196216,0.168435872,0.554781866,0.217189798,0.565711304
NMB391,0.183818981,0.330972029,0.413117989,0.494483188,0.28467675,0,0.243624741,0.296760343,0.422959493,0.368894686,0.307196027,0.268036917,0.236954582,0.327842678,0.834995872,0.654372883,0.624135793,0.579103743,0.706486306
NMB739,0.106271203,0.106271203,0.321172519,0.471168192,0.168435872,0,0.183818981,0.31881361,0.44884085,0.183818981,0.313866186,0.236954582,0.053135602,0.395043445,0.778849165,0.736630449,0.643705565,0.566045328,0.725909053
NMB832,0.053135602,0.19048914,0.221571474,0.506248224,0.123377047,0.053135602,0.298340986,0.207594983,0.532838819,0.31881361,0.360331629,0.575232944,0.286524031,0.40461219,0.534581132,0.762948273,0.651694117,0.490378834,0.653617025
NMB890,0.149170493,0.207594983,0.379906116,0.575443834,0.263244202,0,0.236954582,0.260730584,0.511758388,0.653556233,0.632998543,0.451432369,0.366360291,0.484264174,0.810483115,0.720453904,0.667438909,0.609500362,0.728406065
NMB111,0.196625091,0.202306095,0.225716185,0.436987278,0.233388429,0,0.149170493,0.348282023,0.46501856,0.334955183,0.526568132,0.225716185,0.265678009,0.501535885,0.75841188,0.581514958,0.648302089,0.551572045,0.65960559
NMB182,0.19048914,0.053135602,0.316379804,0.554781866,0.202306095,0.106271203,0.28467675,0.358925012,0.46642841,0.504674073,0.620479257,0.246754093,0.351476588,0.65471809,0.777798051,0.672672807,0.476708365,0.615449082,0.707965924
NMB263,0.221571474,0.168435872,0.3043565,0.436730465,0.221571474,0,0.31881361,0.322325299,0.443379184,0.22964825,0.38562567,0.137353538,0.293497788,0.388090785,0.830864468,0.593420806,0.652868982,0.49849393,0.578620346
NMB276,0.123377047,0.236954582,0.585384738,0.393702446,0.502632591,0.123377047,0.212542407,0.367001788,0.589279797,0.341463445,0.348282023,0.221571474,0.159406805,0.546827548,0.544655774,0.656873883,0.525767096,0.486446769,0.554947138
NMB362,0,0.22964825,0.19048914,0.428022279,0.202306095,0,0.22964825,0.168435872,0.481874991,0.35069034,0.293497788,0.302896295,0.255441697,0.377158206,0.617374284,0.666314377,0.706127213,0.650072571,0.684221861
NMB366,0.417868263,0.19048914,0.309934121,0.349093231,0.207594983,0.137353538,0.322325299,0.412767149,0.431404819,0.444549565,0.302896295,0.249760693,0.233388429,0.329943041,0.459104614,0.754066863,0.66543398,0.499860833,0.639531073
NMB392,0.249760693,0.233388429,0.628978536,0.415868363,0.520432181,0,0.202306095,0.478965402,0.633375342,0.295146421,0.217189798,0.168435872,0.053135602,0.313866186,0.549591397,0.632779547,0.274707076,0.265678009,0.445702346
NMB419,0.252653809,0.243624741,0.512336219,0.407678937,0.336871745,0,0.27254754,0.382558922,0.567179629,0.302896295,0.225716185,0.137353538,0.137353538,0.332989474,0.495206386,0.718328302,0.593254048,0.513004895,0.609175537
NMB457,0.084217936,0.123377047,0.336871745,0.48577136,0.176512648,0,0.263244202,0.349895945,0.523644362,0.255441697,0.255441697,0.159406805,0.123377047,0.295146421,0.405776644,0.712860526,0.584566444,0.529384474,0.633513697
